Symbol,Lot Size,Entry Time,Exit Time,Days Held,Exit Reason,Long Equity PnL (₹),Long Equity Return (%),Short Equity PnL (₹),Short Equity Return (%),Options: Naked Call Buy PnL (₹),Options: Naked Call Buy Return (%),Options: Naked Put Buy PnL (₹),Options: Naked Put Buy Return (%),Options: Long Straddle PnL (₹),Options: Long Straddle Return (%),Options: Bull Put Spread (ATM & OTM1) PnL (₹),Options: Bull Put Spread (ATM & OTM1) Return (%),Options: Bull Put Spread (ATM & OTM2) PnL (₹),Options: Bull Put Spread (ATM & OTM2) Return (%),Options: Bear Call Spread (ATM & OTM1) PnL (₹),Options: Bear Call Spread (ATM & OTM1) Return (%),Options: Bear Call Spread (ATM & OTM2) PnL (₹),Options: Bear Call Spread (ATM & OTM2) Return (%)
INDIGO,150,2026-07-17 12:00:00,2026-07-23 09:15:00,5,SL Hit on Gap-Down,-26850.0,-3.41,26850.0,3.41,-9667.5,-1.23,11550.0,1.47,1882.5,0.24,-3705.0,-0.47,-532.5,-0.07,-1605.0,-0.2,2767.5,0.35
BPCL,1975,2026-07-17 12:45:00,2026-07-23 09:15:00,5,SL Hit on Gap-Down,-18861.25,-3.03,18861.25,3.03,-7208.75,-1.16,2468.75,0.4,-4740.0,-0.76,-2666.25,-0.43,-2468.75,-0.4,493.75,0.08,98.75,0.02
IDFCFIRSTB,9275,2026-07-17 14:15:00,2026-07-24 09:15:00,6,Time Exit (5 Days),-6492.5,-0.87,6492.5,0.87,-2226.0,-0.3,-2226.0,-0.3,-4452.0,-0.6,1298.5,0.17,11037.25,1.48,-7049.0,-0.95,3153.5,0.42
PRESTIGE,450,2026-07-17 14:45:00,2026-07-17 14:45:00,1,Target Hit (+5.0%),758205.0,0.0,-758205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPCL,1975,2026-07-17 15:00:00,2026-07-20 10:38:00,2,SL Hit (-3.0%),-18071.25,-2.87,18071.25,2.87,-4246.25,-0.67,691.25,0.11,-3555.0,-0.56,-691.25,-0.11,3950.0,0.63,4246.25,0.67,1086.25,0.17
EXIDEIND,1,2026-07-17 15:00:00,2026-07-24 09:15:00,6,Time Exit (5 Days),-6.6,-1.49,6.6,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAJAJ-AUTO,75,2026-07-17 15:00:00,2026-07-22 12:57:00,4,Target Hit (+5.0%),38512.5,4.91,-38512.5,-4.91,22837.5,2.91,-16012.5,-2.04,6825.0,0.87,675.0,0.09,2512.5,0.32,-2587.5,-0.33,-1357.5,-0.17
ICICIBANK,700,2026-07-17 15:15:00,2026-07-24 09:15:00,6,Time Exit (5 Days),-25200.0,-2.46,25200.0,2.46,-7980.0,-0.78,-420.0,-0.04,-8400.0,-0.82,-910.0,-0.09,595.0,0.06,910.0,0.09,1505.0,0.15
NUVAMA,1,2026-07-20 09:30:00,2026-07-20 12:51:00,1,SL Hit (-3.0%),-57.5,-3.01,57.5,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TITAN,175,2026-07-20 09:45:00,2026-07-27 09:15:00,6,Time Exit (5 Days),4095.0,0.5,-4095.0,-0.5,-6947.5,-0.85,-5888.75,-0.72,-12836.25,-1.57,-1198.75,-0.15,2178.75,0.27,9380.0,1.15,7122.5,0.87
BHARATFORG,500,2026-07-20 12:15:00,2026-07-24 10:02:00,5,SL Hit (-3.0%),-33250.0,-3.02,33250.0,3.02,-15375.0,-1.4,7000.0,0.64,-8375.0,-0.76,0.0,0.0,-11500.0,-1.05,6875.0,0.62,5500.0,0.5
SBIN,750,2026-07-20 13:45:00,2026-07-22 12:14:00,3,SL Hit (-3.0%),-23850.0,-3.02,23850.0,3.02,-10837.5,-1.37,11062.5,1.4,225.0,0.03,-1687.5,-0.21,-1612.5,-0.2,1800.0,0.23,2175.0,0.28
ICICIBANK,700,2026-07-20 13:45:00,2026-07-24 09:36:00,5,SL Hit (-3.0%),-27440.0,-2.68,27440.0,2.68,-13510.0,-1.32,13300.0,1.3,-210.0,-0.02,-910.0,-0.09,-2380.0,-0.23,2065.0,0.2,3010.0,0.29
