Symbol,Lot Size,Entry Time,Exit Time (5D),Days Held (5D),Exit Reason (5D),Exit Time (2D),Days Held (2D),Exit Reason (2D),Long Equity (5D) PnL (₹),Long Equity (5D) Return (%),Long Equity (2D) PnL (₹),Long Equity (2D) Return (%),Short Equity (5D) PnL (₹),Short Equity (5D) Return (%),Short Equity (2D) PnL (₹),Short Equity (2D) Return (%),Options: Naked Call Buy (5D) PnL (₹),Options: Naked Call Buy (5D) Return (%),Options: Naked Call Buy (2D) PnL (₹),Options: Naked Call Buy (2D) Return (%),Options: Naked Put Buy (5D) PnL (₹),Options: Naked Put Buy (5D) Return (%),Options: Naked Put Buy (2D) PnL (₹),Options: Naked Put Buy (2D) Return (%),Options: Long Straddle (5D) PnL (₹),Options: Long Straddle (5D) Return (%),Options: Long Straddle (2D) PnL (₹),Options: Long Straddle (2D) Return (%),Options: Bull Put Spread (ATM & OTM1) (5D) PnL (₹),Options: Bull Put Spread (ATM & OTM1) (5D) Return (%),Options: Bull Put Spread (ATM & OTM1) (2D) PnL (₹),Options: Bull Put Spread (ATM & OTM1) (2D) Return (%),Options: Bull Put Spread (ATM & OTM2) (5D) PnL (₹),Options: Bull Put Spread (ATM & OTM2) (5D) Return (%),Options: Bull Put Spread (ATM & OTM2) (2D) PnL (₹),Options: Bull Put Spread (ATM & OTM2) (2D) Return (%),Options: Bear Call Spread (ATM & OTM1) (5D) PnL (₹),Options: Bear Call Spread (ATM & OTM1) (5D) Return (%),Options: Bear Call Spread (ATM & OTM1) (2D) PnL (₹),Options: Bear Call Spread (ATM & OTM1) (2D) Return (%),Options: Bear Call Spread (ATM & OTM2) (5D) PnL (₹),Options: Bear Call Spread (ATM & OTM2) (5D) Return (%),Options: Bear Call Spread (ATM & OTM2) (2D) PnL (₹),Options: Bear Call Spread (ATM & OTM2) (2D) Return (%)
NESTLEIND,500,2026-08-04 09:15:00,2026-08-04 13:37:00,1,SL Hit (-3.0%),2026-08-04 13:37:00,1,SL Hit (-3.0%),-18700.0,-2.48,-18700.0,-2.48,18700.0,2.48,18700.0,2.48,-7275.0,-0.96,-7275.0,-0.96,14650.0,1.94,14650.0,1.94,7375.0,0.98,7375.0,0.98,-1475.0,-0.2,-1475.0,-0.2,-25.0,-0.0,-25.0,-0.0,650.0,0.09,650.0,0.09,1300.0,0.17,1300.0,0.17
BAJAJ-AUTO,75,2026-08-04 09:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,9900.0,1.13,9900.0,1.13,-9900.0,-1.13,-9900.0,-1.13,3123.75,0.36,3123.75,0.36,-2621.25,-0.3,-2621.25,-0.3,502.5,0.06,502.5,0.06,-1278.75,-0.15,-1278.75,-0.15,-262.5,-0.03,-262.5,-0.03,-892.5,-0.1,-892.5,-0.1,960.0,0.11,960.0,0.11
HINDALCO,700,2026-08-04 09:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,15400.0,2.16,15400.0,2.16,-15400.0,-2.16,-15400.0,-2.16,14840.0,2.08,14840.0,2.08,-11830.0,-1.66,-11830.0,-1.66,3010.0,0.42,3010.0,0.42,1855.0,0.26,1855.0,0.26,4480.0,0.63,4480.0,0.63,-2380.0,-0.33,-2380.0,-0.33,-4865.0,-0.68,-4865.0,-0.68
CANBK,6750,2026-08-04 09:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,-2160.0,-0.25,-2160.0,-0.25,2160.0,0.25,2160.0,0.25,5332.5,0.61,5332.5,0.61,-8775.0,-1.01,-8775.0,-1.01,-3442.5,-0.39,-3442.5,-0.39,4320.0,0.5,4320.0,0.5,2295.0,0.26,2295.0,0.26,-3240.0,-0.37,-3240.0,-0.37,-4522.5,-0.52,-4522.5,-0.52
SOLARINDS,50,2026-08-04 09:15:00,2026-08-05 15:13:00,2,SL Hit (-3.0%),2026-08-05 15:13:00,2,SL Hit (-3.0%),-18600.0,-1.98,-18600.0,-1.98,18600.0,1.98,18600.0,1.98,-4725.0,-0.5,-4725.0,-0.5,2862.5,0.31,2862.5,0.31,-1862.5,-0.2,-1862.5,-0.2,693.0,0.07,693.0,0.07,-472.5,-0.05,-472.5,-0.05,1180.0,0.13,1180.0,0.13,1625.0,0.17,1625.0,0.17
TRENT,225,2026-08-04 10:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,-472.5,-0.07,-472.5,-0.07,472.5,0.07,472.5,0.07,1372.5,0.19,1372.5,0.19,-225.0,-0.03,-225.0,-0.03,1147.5,0.16,1147.5,0.16,-393.75,-0.06,-393.75,-0.06,-90.0,-0.01,-90.0,-0.01,-78.75,-0.01,-78.75,-0.01,-506.25,-0.07,-506.25,-0.07
UNOMINDA,550,2026-08-04 10:15:00,2026-08-04 10:15:00,1,SL Hit (-3.0%),2026-08-04 10:15:00,1,SL Hit (-3.0%),-25960.0,-3.74,-25960.0,-3.74,25960.0,3.74,25960.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OFSS,100,2026-08-04 10:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,8500.0,0.73,8500.0,0.73,-8500.0,-0.73,-8500.0,-0.73,10350.0,0.89,10350.0,0.89,-14810.0,-1.27,-14810.0,-1.27,-4460.0,-0.38,-4460.0,-0.38,-1465.0,-0.13,-1465.0,-0.13,1625.0,0.14,1625.0,0.14,-1060.0,-0.09,-1060.0,-0.09,-750.0,-0.06,-750.0,-0.06
LT,2250,2026-08-04 11:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,-9000.0,-0.1,-9000.0,-0.1,9000.0,0.1,9000.0,0.1,0.0,0.0,0.0,0.0,3487.5,0.04,3487.5,0.04,3487.5,0.04,3487.5,0.04,-4050.0,-0.04,-4050.0,-0.04,-13050.0,-0.14,-13050.0,-0.14,0.0,0.0,0.0,0.0,-136800.0,-1.5,-136800.0,-1.5
UNOMINDA,550,2026-08-04 11:15:00,2026-08-04 11:15:00,1,SL Hit (-3.0%),2026-08-04 11:15:00,1,SL Hit (-3.0%),-29320.5,-4.23,-29320.5,-4.23,29320.5,4.23,29320.5,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEROMOTOCO,150,2026-08-04 11:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,3450.0,0.41,3450.0,0.41,-3450.0,-0.41,-3450.0,-0.41,8887.5,1.05,8887.5,1.05,-10837.5,-1.27,-10837.5,-1.27,-1950.0,-0.23,-1950.0,-0.23,1432.5,0.17,1432.5,0.17,3525.0,0.41,3525.0,0.41,-1897.5,-0.22,-1897.5,-0.22,-3652.5,-0.43,-3652.5,-0.43
SONACOMS,1225,2026-08-04 12:15:00,2026-08-04 12:15:00,1,Target Hit (+5.0%),2026-08-04 12:15:00,1,Target Hit (+5.0%),959236.25,0.0,959236.25,0.0,-959236.25,0.0,-959236.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JSWSTEEL,675,2026-08-04 14:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,14917.5,1.69,14917.5,1.69,-14917.5,-1.69,-14917.5,-1.69,16773.75,1.9,16773.75,1.9,-11070.0,-1.25,-11070.0,-1.25,5703.75,0.65,5703.75,0.65,3645.0,0.41,3645.0,0.41,5838.75,0.66,5838.75,0.66,-2767.5,-0.31,-2767.5,-0.31,-5933.25,-0.67,-5933.25,-0.67
PNB,8000,2026-08-04 14:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,-6000.0,-0.66,-6000.0,-0.66,6000.0,0.66,6000.0,0.66,-640.0,-0.07,-640.0,-0.07,-1360.0,-0.15,-1360.0,-0.15,-2000.0,-0.22,-2000.0,-0.22,720.0,0.08,720.0,0.08,800.0,0.09,800.0,0.09,-160.0,-0.02,-160.0,-0.02,160.0,0.02,160.0,0.02
HINDALCO,700,2026-08-04 14:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,9100.0,1.27,9100.0,1.27,-9100.0,-1.27,-9100.0,-1.27,11445.0,1.59,11445.0,1.59,-9163.0,-1.27,-9163.0,-1.27,2282.0,0.32,2282.0,0.32,2058.0,0.29,2058.0,0.29,3983.0,0.55,3983.0,0.55,-2065.0,-0.29,-2065.0,-0.29,-3815.0,-0.53,-3815.0,-0.53
