Symbol,Lot Size,Entry Time,Exit Time (5D),Days Held (5D),Exit Reason (5D),Exit Time (2D),Days Held (2D),Exit Reason (2D),Long Equity (5D) PnL (₹),Long Equity (5D) Return (%),Long Equity (2D) PnL (₹),Long Equity (2D) Return (%),Short Equity (5D) PnL (₹),Short Equity (5D) Return (%),Short Equity (2D) PnL (₹),Short Equity (2D) Return (%),Options: Naked Call Buy (5D) PnL (₹),Options: Naked Call Buy (5D) Return (%),Options: Naked Call Buy (2D) PnL (₹),Options: Naked Call Buy (2D) Return (%),Options: Naked Put Buy (5D) PnL (₹),Options: Naked Put Buy (5D) Return (%),Options: Naked Put Buy (2D) PnL (₹),Options: Naked Put Buy (2D) Return (%),Options: Long Straddle (5D) PnL (₹),Options: Long Straddle (5D) Return (%),Options: Long Straddle (2D) PnL (₹),Options: Long Straddle (2D) Return (%),Options: Bull Put Spread (ATM & OTM1) (5D) PnL (₹),Options: Bull Put Spread (ATM & OTM1) (5D) Return (%),Options: Bull Put Spread (ATM & OTM1) (2D) PnL (₹),Options: Bull Put Spread (ATM & OTM1) (2D) Return (%),Options: Bull Put Spread (ATM & OTM2) (5D) PnL (₹),Options: Bull Put Spread (ATM & OTM2) (5D) Return (%),Options: Bull Put Spread (ATM & OTM2) (2D) PnL (₹),Options: Bull Put Spread (ATM & OTM2) (2D) Return (%),Options: Bear Call Spread (ATM & OTM1) (5D) PnL (₹),Options: Bear Call Spread (ATM & OTM1) (5D) Return (%),Options: Bear Call Spread (ATM & OTM1) (2D) PnL (₹),Options: Bear Call Spread (ATM & OTM1) (2D) Return (%),Options: Bear Call Spread (ATM & OTM2) (5D) PnL (₹),Options: Bear Call Spread (ATM & OTM2) (5D) Return (%),Options: Bear Call Spread (ATM & OTM2) (2D) PnL (₹),Options: Bear Call Spread (ATM & OTM2) (2D) Return (%)
JINDALSTEL,625,2026-08-04 09:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,-2812.5,-0.4,-2812.5,-0.4,2812.5,0.4,2812.5,0.4,2687.5,0.38,2687.5,0.38,-3750.0,-0.54,-3750.0,-0.54,-1062.5,-0.15,-1062.5,-0.15,1125.0,0.16,1125.0,0.16,2000.0,0.29,2000.0,0.29,-1187.5,-0.17,-1187.5,-0.17,-1500.0,-0.21,-1500.0,-0.21
TRENT,225,2026-08-04 09:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,-472.5,-0.07,-472.5,-0.07,472.5,0.07,472.5,0.07,3408.75,0.48,3408.75,0.48,-2801.25,-0.4,-2801.25,-0.4,607.5,0.09,607.5,0.09,101.25,0.01,101.25,0.01,-0.0,-0.0,-0.0,-0.0,-225.0,-0.03,-225.0,-0.03,-720.0,-0.1,-720.0,-0.1
UNITDSPR,400,2026-08-04 09:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,-6000.0,-0.98,-6000.0,-0.98,6000.0,0.98,6000.0,0.98,-360.0,-0.06,-360.0,-0.06,-1220.0,-0.2,-1220.0,-0.2,-1580.0,-0.26,-1580.0,-0.26,620.0,0.1,620.0,0.1,820.0,0.13,820.0,0.13,-420.0,-0.07,-420.0,-0.07,-400.0,-0.07,-400.0,-0.07
CANBK,6750,2026-08-04 09:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,-2160.0,-0.25,-2160.0,-0.25,2160.0,0.25,2160.0,0.25,5332.5,0.61,5332.5,0.61,-8775.0,-1.01,-8775.0,-1.01,-3442.5,-0.39,-3442.5,-0.39,4320.0,0.5,4320.0,0.5,2295.0,0.26,2295.0,0.26,-3240.0,-0.37,-3240.0,-0.37,-4522.5,-0.52,-4522.5,-0.52
HINDALCO,700,2026-08-04 09:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,15400.0,2.16,15400.0,2.16,-15400.0,-2.16,-15400.0,-2.16,14840.0,2.08,14840.0,2.08,-11830.0,-1.66,-11830.0,-1.66,3010.0,0.42,3010.0,0.42,1855.0,0.26,1855.0,0.26,4480.0,0.63,4480.0,0.63,-2380.0,-0.33,-2380.0,-0.33,-4865.0,-0.68,-4865.0,-0.68
BAJAJ-AUTO,75,2026-08-04 09:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,9900.0,1.13,9900.0,1.13,-9900.0,-1.13,-9900.0,-1.13,3123.75,0.36,3123.75,0.36,-2621.25,-0.3,-2621.25,-0.3,502.5,0.06,502.5,0.06,-1278.75,-0.15,-1278.75,-0.15,-262.5,-0.03,-262.5,-0.03,-892.5,-0.1,-892.5,-0.1,960.0,0.11,960.0,0.11
TVSMOTOR,175,2026-08-04 09:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,4200.0,0.54,4200.0,0.54,-4200.0,-0.54,-4200.0,-0.54,4429.25,0.57,4429.25,0.57,-8155.0,-1.05,-8155.0,-1.05,-3725.75,-0.48,-3725.75,-0.48,2205.0,0.28,2205.0,0.28,3062.5,0.39,3062.5,0.39,-623.0,-0.08,-623.0,-0.08,-5216.75,-0.67,-5216.75,-0.67
UNITDSPR,400,2026-08-04 09:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,-6000.0,-0.98,-6000.0,-0.98,6000.0,0.98,6000.0,0.98,-360.0,-0.06,-360.0,-0.06,-1220.0,-0.2,-1220.0,-0.2,-1580.0,-0.26,-1580.0,-0.26,620.0,0.1,620.0,0.1,820.0,0.13,820.0,0.13,-420.0,-0.07,-420.0,-0.07,-400.0,-0.07,-400.0,-0.07
JIOFIN,2350,2026-08-04 09:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,-11162.5,-1.78,-11162.5,-1.78,11162.5,1.78,11162.5,1.78,-1175.0,-0.19,-1175.0,-0.19,-1645.0,-0.26,-1645.0,-0.26,-2820.0,-0.45,-2820.0,-0.45,-0.0,-0.0,-0.0,-0.0,587.5,0.09,587.5,0.09,587.5,0.09,587.5,0.09,-1057.5,-0.17,-1057.5,-0.17
TRENT,225,2026-08-04 09:15:00,2026-08-05 15:29:00,2,Data Ended,2026-08-05 15:29:00,2,Data Ended,-472.5,-0.07,-472.5,-0.07,472.5,0.07,472.5,0.07,3408.75,0.48,3408.75,0.48,-2801.25,-0.4,-2801.25,-0.4,607.5,0.09,607.5,0.09,101.25,0.01,101.25,0.01,-0.0,-0.0,-0.0,-0.0,-225.0,-0.03,-225.0,-0.03,-720.0,-0.1,-720.0,-0.1
