Symbol,Lot Size,Entry Time,Exit Time,Days Held,Exit Reason,Long Equity PnL (₹),Long Equity Return (%),Short Equity PnL (₹),Short Equity Return (%),Options: Naked Call Buy PnL (₹),Options: Naked Call Buy Return (%),Options: Naked Put Buy PnL (₹),Options: Naked Put Buy Return (%),Options: Long Straddle PnL (₹),Options: Long Straddle Return (%),Options: Bull Put Spread (ATM & OTM1) PnL (₹),Options: Bull Put Spread (ATM & OTM1) Return (%),Options: Bull Put Spread (ATM & OTM2) PnL (₹),Options: Bull Put Spread (ATM & OTM2) Return (%),Options: Bear Call Spread (ATM & OTM1) PnL (₹),Options: Bear Call Spread (ATM & OTM1) Return (%),Options: Bear Call Spread (ATM & OTM2) PnL (₹),Options: Bear Call Spread (ATM & OTM2) Return (%)
IDEA,71475,2026-07-01 11:15:00,2026-07-07 09:15:00,5,SL Hit (-3.0%),-34308.0,-3.31,34308.0,3.31,-24301.5,-2.35,5003.25,0.48,-19298.25,-1.86,-2144.25,-0.21,-4288.5,-0.41,-0.0,-0.0,10721.25,1.04
CDSL,475,2026-07-01 11:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),-1805.0,-0.28,1805.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-166.25,-0.03
MAZDOCK,225,2026-07-01 12:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),-12015.0,-2.09,12015.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RECLTD,1575,2026-07-01 12:15:00,2026-07-07 09:44:00,5,SL Hit (-3.0%),-17325.0,-2.98,17325.0,2.98,-3543.75,-0.61,0.0,0.0,-3543.75,-0.61,0.0,0.0,7796.25,1.34,3543.75,0.61,2756.25,0.47
PGEL,950,2026-07-01 12:15:00,2026-07-01 12:16:00,1,SL Hit (-3.0%),-16197.5,-3.04,16197.5,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUBANK,1000,2026-07-01 12:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),3000.0,0.28,-3000.0,-0.28,-21400.0,-2.02,0.0,0.0,-21400.0,-2.02,0.0,0.0,0.0,0.0,21400.0,2.02,21400.0,2.02
ASHOKLEY,5000,2026-07-01 12:15:00,2026-07-01 12:17:00,1,SL Hit (-3.0%),-23950.0,-2.91,23950.0,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGPOWER,850,2026-07-01 13:15:00,2026-07-03 09:15:00,3,SL Hit on Gap-Down,-40800.0,-5.0,40800.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2465.0,-0.3
BOSCHLTD,25,2026-07-01 14:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),12125.0,1.17,-12125.0,-1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBIN,750,2026-07-01 14:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),-16500.0,-2.09,16500.0,2.09,412.5,0.05,2325.0,0.29,2737.5,0.35,-1312.5,-0.17,-712.5,-0.09,-4050.0,-0.51,-1350.0,-0.17
MOTILALOFS,775,2026-07-02 09:15:00,2026-07-08 13:54:00,5,SL Hit (-3.0%),-22242.5,-3.0,22242.5,3.0,3293.75,0.44,0.0,0.0,3293.75,0.44,3293.75,0.44,-2325.0,-0.31,-3293.75,-0.44,-3293.75,-0.44
SRF,200,2026-07-02 09:15:00,2026-07-08 14:25:00,5,SL Hit (-3.0%),-16740.0,-2.99,16740.0,2.99,-9750.0,-1.74,6270.0,1.12,-3480.0,-0.62,-6270.0,-1.12,2440.0,0.44,9750.0,1.74,9750.0,1.74
BAJAJHLDNG,75,2026-07-02 09:15:00,2026-07-08 12:08:00,5,SL Hit (-3.0%),-23850.0,-2.93,23850.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TVSMOTOR,175,2026-07-02 09:15:00,2026-07-09 09:15:00,6,Time Exit (5 Days),5285.0,0.83,-5285.0,-0.83,0.0,0.0,0.0,0.0,0.0,0.0,-6125.0,-0.97,0.0,0.0,7875.0,1.24,0.0,0.0
