Symbol,Lot Size,Entry Time,Exit Time,Days Held,Exit Reason,Long Equity PnL (₹),Long Equity Return (%),Short Equity PnL (₹),Short Equity Return (%),Options: Naked Call Buy PnL (₹),Options: Naked Call Buy Return (%),Options: Naked Put Buy PnL (₹),Options: Naked Put Buy Return (%),Options: Long Straddle PnL (₹),Options: Long Straddle Return (%),Options: Bull Put Spread (ATM & OTM1) PnL (₹),Options: Bull Put Spread (ATM & OTM1) Return (%),Options: Bull Put Spread (ATM & OTM2) PnL (₹),Options: Bull Put Spread (ATM & OTM2) Return (%),Options: Bear Call Spread (ATM & OTM1) PnL (₹),Options: Bear Call Spread (ATM & OTM1) Return (%),Options: Bear Call Spread (ATM & OTM2) PnL (₹),Options: Bear Call Spread (ATM & OTM2) Return (%)
LICI,1400,2026-07-01 09:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),3780.0,0.62,-3780.0,-0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,0.21,0.0,0.0,0.0,0.0
NESTLEIND,500,2026-07-01 09:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),6900.0,0.95,-6900.0,-0.95,-3500.0,-0.48,0.0,0.0,-3500.0,-0.48,0.0,0.0,0.0,0.0,3500.0,0.48,3500.0,0.48
LODHA,625,2026-07-01 09:15:00,2026-07-01 09:15:00,1,SL Hit (-3.0%),-27968.75,-4.45,27968.75,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONCOR,1250,2026-07-01 09:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),-10562.5,-1.77,10562.5,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POLICYBZR,350,2026-07-01 10:15:00,2026-07-03 09:15:00,3,SL Hit on Gap-Down,-21735.0,-3.69,21735.0,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAM-INDIA,625,2026-07-01 10:15:00,2026-07-01 10:16:00,1,SL Hit (-3.0%),-22687.5,-2.99,22687.5,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGPOWER,850,2026-07-01 10:15:00,2026-07-03 09:15:00,3,SL Hit on Gap-Down,-40800.0,-5.0,40800.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INOXWIND,6400,2026-07-01 10:15:00,2026-07-06 09:23:00,4,SL Hit (-3.0%),-17600.0,-3.06,17600.0,3.06,2560.0,0.44,9600.0,1.67,12160.0,2.11,-3840.0,-0.67,-9600.0,-1.67,-2560.0,-0.44,-2560.0,-0.44
SHREECEM,25,2026-07-01 10:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),10375.0,1.58,-10375.0,-1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASHOKLEY,5000,2026-07-01 10:15:00,2026-07-01 10:46:00,1,SL Hit (-3.0%),-24000.0,-2.91,24000.0,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,0.14,0.0,0.0,0.0,0.0
HAL,150,2026-07-01 10:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),-7710.0,-1.16,7710.0,1.16,-6307.5,-0.95,0.0,0.0,-6307.5,-0.95,517.5,0.08,0.0,0.0,2542.5,0.38,6307.5,0.95
ADANIGREEN,600,2026-07-01 11:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),-21780.0,-2.33,21780.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14280.0,-1.53,-8880.0,-0.95
ADANIENSOL,675,2026-07-01 11:15:00,2026-07-01 11:53:00,1,SL Hit (-3.0%),-30172.5,-2.87,30172.5,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
