Symbol,Lot Size,Entry Time,Exit Time,Days Held,Exit Reason,Long Equity PnL (₹),Long Equity Return (%),Short Equity PnL (₹),Short Equity Return (%),Options: Naked Call Buy PnL (₹),Options: Naked Call Buy Return (%),Options: Naked Put Buy PnL (₹),Options: Naked Put Buy Return (%),Options: Long Straddle PnL (₹),Options: Long Straddle Return (%),Options: Bull Put Spread (ATM & OTM1) PnL (₹),Options: Bull Put Spread (ATM & OTM1) Return (%),Options: Bull Put Spread (ATM & OTM2) PnL (₹),Options: Bull Put Spread (ATM & OTM2) Return (%),Options: Bear Call Spread (ATM & OTM1) PnL (₹),Options: Bear Call Spread (ATM & OTM1) Return (%),Options: Bear Call Spread (ATM & OTM2) PnL (₹),Options: Bear Call Spread (ATM & OTM2) Return (%)
INDIGO,150,2026-07-17 12:00:00,2026-07-23 09:15:00,5,SL Hit on Gap-Down,-26850.0,-3.41,26850.0,3.41,-9667.5,-1.23,11550.0,1.47,1882.5,0.24,-3705.0,-0.47,-532.5,-0.07,-1605.0,-0.2,2767.5,0.35
BPCL,1975,2026-07-17 12:45:00,2026-07-23 09:15:00,5,SL Hit on Gap-Down,-18861.25,-3.03,18861.25,3.03,-7208.75,-1.16,2468.75,0.4,-4740.0,-0.76,-2666.25,-0.43,-2468.75,-0.4,493.75,0.08,98.75,0.02
IDFCFIRSTB,9275,2026-07-17 14:15:00,2026-07-24 09:15:00,6,Time Exit (5 Days),-6492.5,-0.87,6492.5,0.87,-2226.0,-0.3,-2226.0,-0.3,-4452.0,-0.6,1298.5,0.17,11037.25,1.48,-7049.0,-0.95,3153.5,0.42
PRESTIGE,450,2026-07-17 14:45:00,2026-07-17 14:45:00,1,Target Hit (+5.0%),758205.0,0.0,-758205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
